time, amplitude, 
0,0.73904, 
0.02441,1.2372, 
0.04883,1.0019, 
0.07324,0.50924, 
0.09766,-0.603, 
0.12207,-1.6674, 
0.14648,-1.5332, 
0.1709,-0.85486, 
0.19531,0.3971, 
0.21973,1.3604, 
0.24414,1.8384, 
0.26855,1.7446, 
0.29297,0.73904, 
0.31738,-0.69308, 
0.3418,-1.6969, 
0.36621,-1.6215, 
0.39063,-0.97252, 
0.41504,-0.07721, 
0.43945,0.78132, 
0.46387,1.2281, 
0.48828,1.0718, 
0.5127,0.29782, 
0.53711,-0.24267, 
0.56152,-0.30334, 
0.58594,-0.02574, 
0.61035,0.05883, 
0.63477,0.24819, 
0.65918,0.12869, 
0.68359,-0.32172, 
0.70801,-0.87692, 
0.73242,-0.98906, 
0.75684,-0.71698, 
0.78125,-0.31069, 
0.80566,-0.01287, 
0.83008,0.0239, 
0.85449,-0.09192, 
0.87891,-0.16546, 
0.90332,-0.21693, 
0.92773,0.04044, 
0.95215,0.75375, 
0.97656,1.2887, 
1.001,1.2593, 
1.0254,0.9523, 
1.0498,0.47615, 
1.0742,0.03125, 
1.0986,-0.06618, 
1.123,0.13788, 
1.1475,0.6269, 
1.1719,0.88979, 
1.1963,0.6508, 
1.2207,0.07354, 
1.2451,-0.22612, 
1.2695,-0.36584, 
1.2939,-0.31804, 
1.3184,-0.14523, 
1.3428,0.16913, 
1.3672,0.38974, 
1.3916,0.27944, 
1.416,-0.01287, 
1.4404,-0.27025, 
1.4648,-0.43019, 
1.4893,-0.51475, 
1.5137,-0.56439, 
1.5381,-0.53498, 
1.5625,-0.61587, 
1.5869,-0.43938, 
1.6113,-0.35665, 
1.6357,-0.28679, 
1.6602,-0.11398, 
1.6846,-0.09192, 
1.709,-0.10111, 
1.7334,-0.02206, 
1.7578,-0.01655, 
1.7822,-0.06251, 
1.8066,-0.07905, 
1.8311,0.12133, 
1.8555,0.39893, 
1.8799,0.3732, 
1.9043,0.14891, 
1.9287,-0.05148, 
1.9531,-0.13237, 
1.9775,-0.25922, 
2.002,-0.31437, 
2.0264,-0.2537, 
2.0508,-0.02758, 
2.0752,0.21877, 
2.0996,0.29415, 
2.124,0.17097, 
2.1484,0.06618, 
2.1729,-0.17281, 
2.1973,-0.29966, 
2.2217,-0.27392, 
2.2461,-0.03493, 
2.2705,0.30518, 
2.2949,0.53314, 
2.3193,0.67653, 
